,level,message,location,device
10,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",Aria
11,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",SmarterCoffee
12,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",MAXGateway
13,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",Lightify
14,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",D-LinkWaterSensor
15,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",D-LinkSwitch
16,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",D-LinkSensor
17,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",EdimaxPlug1101W
18,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",WeMoInsightSwitch
19,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",D-LinkSiren
20,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",WeMoSwitch2
21,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",EdimaxPlug2101W
22,Reporter::WARNING,"Your trace file likely has invalid UDP checksums, most likely from NIC checksum offloading.  By default, packets with invalid checksums are discarded by Zeek unless using the -C command-line option or toggling the 'ignore_checksums' variable.  Alternatively, disable checksum offloading by the network adapter to ensure Zeek analyzes the actual checksums that are transmitted.","/usr/local/Cellar/zeek/8.1.2/share/zeek/base/misc/find-checksum-offloading.zeek, line 54",HueBridge
